decade,song,artist,appearances,avg_rank,peak,score,link
1960s,Moon River,Henry Mancini And His Orchestra,26,39.76923077,11,1592,https://www.youtube.com/watch?v=Ozg3P3LrJs8&list=RDOzg3P3LrJs8&start_radio=1
1960s,Finger Poppin' Time,Hank Ballard And The Midnighters,26,40.26923077,7,1579,https://www.youtube.com/watch?v=uAeea4S43JY&list=RDuAeea4S43JY&start_radio=1
1960s,Last Date,Floyd Cramer,20,23.35,2,1553,https://www.youtube.com/watch?v=OPss6C_-QUA&list=RDOPss6C_-QUA&start_radio=1
1970s,How Deep Is Your Love,Bee Gees,33,21.33333333,1,2629,https://www.youtube.com/watch?v=lQkB4i0KQa8&list=RDlQkB4i0KQa8&start_radio=1
1970s,I Go Crazy,Paul Davis,40,37.85,7,2526,https://www.youtube.com/watch?v=nhu3orNqZu4&list=RDnhu3orNqZu4&start_radio=1
1970s,I Just Want To Be Your Everything,Andy Gibb,31,24.83870968,1,2361,https://www.youtube.com/watch?v=n-EJQ9kjZ84&list=RDn-EJQ9kjZ84&start_radio=1
1970s,Why Me,Kris Kristofferson,38,44.63157895,16,2142,https://www.youtube.com/watch?v=DzVycgM8XHQ&list=RDDzVycgM8XHQ&start_radio=1
1970s,(Love Is) Thicker Than Water,Andy Gibb,29,28.4137931,1,2105,https://www.youtube.com/watch?v=qAwvUZCgo7o&list=RDqAwvUZCgo7o&start_radio=1
1970s,Stayin' Alive,Bee Gees,27,23.51851852,1,2092,https://www.youtube.com/watch?v=bVVwmRbBZ-I&list=RDbVVwmRbBZ-I&start_radio=1
1970s,A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,28,27.10714286,1,2069,https://www.youtube.com/watch?v=0ouMaLRth-s&list=RD0ouMaLRth-s&start_radio=1
1970s,You Light Up My Life,Debby Boone,25,18.48,1,2063,https://www.youtube.com/watch?v=AOShEUn0aA4&list=RDAOShEUn0aA4&start_radio=1
1970s,I Love The Nightlife (Disco 'round),Alicia Bridges,31,35.32258065,5,2036,https://www.youtube.com/watch?v=1J256lLL4fU&list=RD1J256lLL4fU&start_radio=1
1970s,Le Freak,Chic,25,21.92,1,1977,https://www.youtube.com/watch?v=IHfsRbUjTXQ&list=RDIHfsRbUjTXQ&start_radio=1
1970s,Y.M.C.A.,Village People,26,25.19230769,2,1971,https://www.youtube.com/watch?v=CeADaAg0f_w&list=RDCeADaAg0f_w&start_radio=1
1970s,Hot Child In The City,Nick Gilder,31,37.51612903,1,1968,https://www.youtube.com/watch?v=y-CM2DpW_6w&list=RDy-CM2DpW_6w&start_radio=1
1970s,Feelings,Morris Albert,32,40,6,1952,https://www.youtube.com/watch?v=aIspfWvkgzg&list=RDaIspfWvkgzg&start_radio=1
