decade,song,artist,appearances,avg_rank,peak,score
1990s,Truly Madly Deeply,Savage Garden,52,13.538461538461538,1,4548.0
1990s,Too Close,Next,53,15.754716981132075,1,4518.0
1990s,Macarena (Bayside Boys Mix),Los Del Rio,60,26.166666666666668,1,4490.0
1990s,I Don't Want To Wait,Paula Cole,56,28.392857142857142,11,4066.0
1990s,Whoomp! (There It Is),Tag Team,45,14.777777777777779,2,3880.0000000000005
1990s,You Make Me Wanna...,Usher,47,19.06382978723404,2,3851.0
1990s,Nobody Knows,The Tony Rich Project,47,20.574468085106382,2,3779.9999999999995
1990s,Barely Breathing,Duncan Sheik,55,32.58181818181818,16,3763.0
1990s,Missing,Everything But The Girl,55,32.945454545454545,2,3743.0000000000005
1990s,Another Night,Real McCoy,45,18.355555555555554,3,3719.0
1990s,You're Still The One,Shania Twain,42,12.571428571428571,2,3714.0
1990s,How's It Going To Be,Third Eye Blind,52,30.096153846153847,9,3687.0000000000005
1990s,Un-Break My Heart,Toni Braxton,42,14.166666666666666,1,3647.0
1990s,Run-Around,Blues Traveler,49,28.122448979591837,8,3571.0
1990s,This Kiss,Faith Hill,48,27.791666666666668,7,3514.0
1990s,Together Again,Janet,46,24.869565217391305,1,3501.9999999999995
1990s,Quit Playing Games (With My Heart),Backstreet Boys,43,19.790697674418606,2,3492.0
1990s,Semi-Charmed Life,Third Eye Blind,43,20.651162790697676,4,3455.0000000000005
2000s,I'm Yours,Jason Mraz,76,29.513157894736842,6,5432.999999999999
2000s,Before He Cheats,Carrie Underwood,64,28.921875,8,4613.0
2000s,Hanging By A Moment,Lifehouse,54,21.185185185185187,2,4310.0
2000s,You And Me,Lifehouse,62,33.53225806451613,5,4183.0
2000s,Unwell,matchbox twenty,54,24.574074074074073,5,4127.0
2000s,Viva La Vida,Coldplay,51,21.03921568627451,1,4078.0000000000005
2000s,Love Story,Taylor Swift,49,18.489795918367346,4,4043.0
2000s,Kryptonite,3 Doors Down,53,26.471698113207548,3,3949.9999999999995
2000s,How You Remind Me,Nickelback,49,20.6734693877551,1,3936.0
2000s,Drops Of Jupiter (Tell Me),Train,53,26.81132075471698,5,3932.0000000000005
2000s,Big Girls Don't Cry,Fergie,48,19.125,1,3930.0
2000s,Here Without You,3 Doors Down,51,24.07843137254902,5,3923.0
2000s,The Way You Love Me,Faith Hill,56,31.946428571428573,6,3867.0
2000s,Yeah!,Usher Featuring Lil Jon & Ludacris,45,16.177777777777777,1,3817.0
2000s,Apologize,Timbaland Featuring OneRepublic,47,21.404255319148938,2,3740.9999999999995
2000s,Breathe,Faith Hill,45,18.288888888888888,2,3722.0
2000s,How To Save A Life,The Fray,58,37.189655172413794,3,3701.0
2000s,Since U Been Gone,Kelly Clarkson,46,20.543478260869566,2,3701.0
2000s,Breakaway,Kelly Clarkson,46,23.369565217391305,6,3570.9999999999995
2000s,Just Dance,Lady Gaga Featuring Colby O'Donis,49,28.20408163265306,1,3567.0
2010s,Radioactive,Imagine Dragons,87,32.81609195402299,3,5931.999999999999
2010s,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,68,22.308823529411764,1,5351.0
2010s,Shape Of You,Ed Sheeran,58,11.310344827586206,1,5202.0
2010s,Counting Stars,OneRepublic,68,26.308823529411764,2,5079.0
2010s,Uptown Funk!,Mark Ronson Featuring Bruno Mars,56,12.375,1,4963.0
2010s,Rolling In The Deep,Adele,65,24.723076923076924,1,4958.0
2010s,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,53,9.30188679245283,1,4860.0
2010s,Perfect,Ed Sheeran,56,16.75,1,4718.0
2010s,Somebody That I Used To Know,Gotye Featuring Kimbra,59,21.74576271186441,1,4675.999999999999
2010s,Girls Like You,Maroon 5 Featuring Cardi B,52,11.711538461538462,1,4643.0
2010s,Without Me,Halsey,52,12.25,1,4615.0
2010s,Dark Horse,Katy Perry Featuring Juicy J,57,20.07017543859649,1,4613.0
2010s,Closer,The Chainsmokers Featuring Halsey,52,12.903846153846153,1,4581.0
2010s,Happier,Marshmello & Bastille,52,15.057692307692308,2,4469.0
2010s,Thinking Out Loud,Ed Sheeran,58,24.74137931034483,2,4423.0
2010s,Sicko Mode,Travis Scott,52,16.21153846153846,1,4409.0
2010s,Better Now,Post Malone,52,17.03846153846154,3,4366.0
2010s,Ho Hey,The Lumineers,62,30.951612903225808,3,4343.0
2010s,Trap Queen,Fetty Wap,52,17.942307692307693,2,4319.0
2010s,All Of Me,John Legend,59,28.372881355932204,1,4285.0
2020s,Blinding Lights,The Weeknd,87,10.057471264367816,1,7912.0
2020s,I Hope,Gabby Barrett Featuring Charlie Puth,62,22.919354838709676,3,4841.0
2020s,Mood,24kGoldn Featuring iann dior,52,15.634615384615385,1,4439.0
2020s,Go Crazy,Chris Brown & Young Thug,52,19.346153846153847,3,4246.0
2020s,Circles,Post Malone,45,10.466666666666667,1,4074.0
2020s,Adore You,Harry Styles,48,19.4375,6,3915.0
2020s,Don't Start Now,Dua Lipa,45,16.77777777777778,2,3790.0000000000005
2020s,Rockstar,DaBaby Featuring Roddy Ricch,42,13.833333333333334,1,3661.0
2020s,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",51,30.372549019607842,2,3602.0
2020s,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,43,19.53488372093023,6,3503.0000000000005
2020s,Levitating,Dua Lipa Featuring DaBaby,40,14.675,2,3453.0
2020s,Before You Go,Lewis Capaldi,52,35.61538461538461,9,3400.0
2020s,Life Is Good,Future Featuring Drake,38,16.394736842105264,2,3215.0
2020s,The Box,Roddy Ricch,36,12.36111111111111,1,3191.0
2020s,The Bones,Maren Morris,39,21.974358974358974,12,3082.0
2020s,What You Know Bout Love,Pop Smoke,42,30.095238095238095,9,2977.9999999999995
2020s,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),34,14.470588235294118,1,2942.0
2020s,My Ex's Best Friend,Machine Gun Kelly X blackbear,52,44.75,20,2925.0
2020s,Montero (Call Me By Your Name),Lil Nas X,31,11.03225806451613,1,2789.0
2020s,Roses,SAINt JHN,34,19.08823529411765,4,2785.0
