date,tempo,loudness,key,mode,count
1985-11-23,101.967,-8.736,4.0,1.0,1
1988-09-03,134.188,-3.891,6.0,1.0,1
1982-03-06,96.027,-14.301,11.0,0.0,1
1982-02-20,96.027,-14.301,11.0,0.0,1
1976-12-04,157.788,-11.472,7.0,1.0,1
1976-12-11,157.788,-11.472,7.0,1.0,1
1976-12-18,157.788,-11.472,7.0,1.0,1
1976-12-25,157.788,-11.472,7.0,1.0,1
1977-01-01,157.788,-11.472,7.0,1.0,1
1977-01-08,157.788,-11.472,7.0,1.0,1
1977-01-15,157.788,-11.472,7.0,1.0,1
1977-06-18,137.865,-8.782,7.0,1.0,1
1977-06-25,137.865,-8.782,7.0,1.0,1
1977-07-02,137.865,-8.782,7.0,1.0,1
1977-07-09,137.865,-8.782,7.0,1.0,1
1977-07-16,137.865,-8.782,7.0,1.0,1
1978-06-24,86.902,-7.54,2.0,1.0,1
1978-07-01,86.902,-7.54,2.0,1.0,1
1978-07-08,86.902,-7.54,2.0,1.0,1
1978-07-15,86.902,-7.54,2.0,1.0,1
1978-07-22,86.902,-7.54,2.0,1.0,1
1978-07-29,86.902,-7.54,2.0,1.0,1
1978-08-05,86.902,-7.54,2.0,1.0,1
1978-08-12,86.902,-7.54,2.0,1.0,1
1978-08-19,86.902,-7.54,2.0,1.0,1
1978-08-26,86.902,-7.54,2.0,1.0,1
1978-09-02,86.902,-7.54,2.0,1.0,1
1978-09-09,86.902,-7.54,2.0,1.0,1
1978-09-16,86.902,-7.54,2.0,1.0,1
1978-09-23,86.902,-7.54,2.0,1.0,1
1979-10-20,121.483,-12.347,9.0,1.0,1
1976-11-20,123.438,-8.852,11.0,0.0,1
1979-10-27,121.483,-12.347,9.0,1.0,1
1976-11-13,123.438,-8.852,11.0,0.0,1
1976-10-30,123.438,-8.852,11.0,0.0,1
1975-02-01,122.832,-13.895,9.0,1.0,1
1975-02-08,122.832,-13.895,9.0,1.0,1
1975-02-15,122.832,-13.895,9.0,1.0,1
1975-02-22,122.832,-13.895,9.0,1.0,1
1975-06-07,110.28,-7.98,1.0,1.0,1
1975-06-14,110.28,-7.98,1.0,1.0,1
1975-06-21,110.28,-7.98,1.0,1.0,1
1975-06-28,110.28,-7.98,1.0,1.0,1
1975-07-05,110.28,-7.98,1.0,1.0,1
1975-07-12,110.28,-7.98,1.0,1.0,1
1975-07-19,110.28,-7.98,1.0,1.0,1
1975-07-26,110.28,-7.98,1.0,1.0,1
1975-08-02,110.28,-7.98,1.0,1.0,1
1975-08-09,110.28,-7.98,1.0,1.0,1
1975-08-16,110.28,-7.98,1.0,1.0,1
1975-08-23,110.28,-7.98,1.0,1.0,1
1975-11-29,119.633,-9.783,8.0,0.0,1
1975-12-06,119.633,-9.783,8.0,0.0,1
1976-05-22,107.542,-12.896,11.0,0.0,1
1976-05-29,107.542,-12.896,11.0,0.0,1
1976-06-05,107.542,-12.896,11.0,0.0,1
1976-09-18,123.438,-8.852,11.0,0.0,1
1976-09-25,123.438,-8.852,11.0,0.0,1
1976-10-02,123.438,-8.852,11.0,0.0,1
1976-10-09,123.438,-8.852,11.0,0.0,1
1976-10-16,123.438,-8.852,11.0,0.0,1
1976-10-23,123.438,-8.852,11.0,0.0,1
1976-11-06,123.438,-8.852,11.0,0.0,1
1979-11-03,121.483,-12.347,9.0,1.0,1
1979-11-10,121.483,-12.347,9.0,1.0,1
1979-11-17,121.483,-12.347,9.0,1.0,1
1981-08-01,164.594,-9.727,0.0,0.0,1
1981-08-08,164.594,-9.727,0.0,0.0,1
1981-08-22,130.372,-3.237,5.0,1.0,1
1981-08-29,130.372,-3.237,5.0,1.0,1
1981-09-05,130.372,-3.237,5.0,1.0,1
1981-09-12,130.372,-3.237,5.0,1.0,1
1981-09-19,130.372,-3.237,5.0,1.0,1
1981-09-26,130.372,-3.237,5.0,1.0,1
1981-10-03,130.372,-3.237,5.0,1.0,1
1981-10-10,130.372,-3.237,5.0,1.0,1
1981-10-17,130.372,-3.237,5.0,1.0,1
1981-10-24,130.372,-3.237,5.0,1.0,1
1981-10-31,130.372,-3.237,5.0,1.0,1
1981-11-07,130.372,-3.237,5.0,1.0,1
1981-11-14,130.372,-3.237,5.0,1.0,1
1981-11-21,130.372,-3.237,5.0,1.0,1
1981-11-28,130.372,-3.237,5.0,1.0,1
1981-12-05,130.372,-3.237,5.0,1.0,1
1981-12-12,130.372,-3.237,5.0,1.0,1
1981-12-19,130.372,-3.237,5.0,1.0,1
1981-12-26,130.372,-3.237,5.0,1.0,1
1982-01-02,130.372,-3.237,5.0,1.0,1
1982-01-09,130.372,-3.237,5.0,1.0,1
1982-01-16,130.372,-3.237,5.0,1.0,1
1982-01-23,130.372,-3.237,5.0,1.0,1
1982-02-06,96.027,-14.301,11.0,0.0,1
1982-02-13,96.027,-14.301,11.0,0.0,1
1981-07-25,164.594,-9.727,0.0,0.0,1
1981-07-18,164.594,-9.727,0.0,0.0,1
1981-07-11,164.594,-9.727,0.0,0.0,1
1981-07-04,164.594,-9.727,0.0,0.0,1
1979-11-24,121.483,-12.347,9.0,1.0,1
1979-12-01,121.483,-12.347,9.0,1.0,1
1979-12-08,121.483,-12.347,9.0,1.0,1
1979-12-15,121.483,-12.347,9.0,1.0,1
1979-12-22,121.483,-12.347,9.0,1.0,1
1979-12-29,121.483,-12.347,9.0,1.0,1
1980-01-05,121.483,-12.347,9.0,1.0,1
1980-01-12,121.483,-12.347,9.0,1.0,1
1980-01-19,121.483,-12.347,9.0,1.0,1
1980-08-02,125.783,-7.356,7.0,1.0,1
1980-08-09,125.783,-7.356,7.0,1.0,1
1980-08-16,125.783,-7.356,7.0,1.0,1
1980-08-23,125.783,-7.356,7.0,1.0,1
1982-02-27,96.027,-14.301,11.0,0.0,1
1980-08-30,125.783,-7.356,7.0,1.0,1
1980-09-13,125.783,-7.356,7.0,1.0,1
1980-09-20,125.783,-7.356,7.0,1.0,1
1980-10-25,147.599,-10.362,9.0,1.0,1
1980-11-01,147.599,-10.362,9.0,1.0,1
1980-11-08,147.599,-10.362,9.0,1.0,1
1980-11-15,147.599,-10.362,9.0,1.0,1
1981-03-21,215.006,-10.448,0.0,1.0,1
1981-03-28,215.006,-10.448,0.0,1.0,1
1981-04-04,215.006,-10.448,0.0,1.0,1
1981-04-11,215.006,-10.448,0.0,1.0,1
1981-04-18,215.006,-10.448,0.0,1.0,1
1981-06-20,164.594,-9.727,0.0,0.0,1
1981-06-27,164.594,-9.727,0.0,0.0,1
1980-09-06,125.783,-7.356,7.0,1.0,1
1988-09-10,134.188,-3.891,6.0,1.0,1
1988-09-17,134.188,-3.891,6.0,1.0,1
1988-09-24,134.188,-3.891,6.0,1.0,1
2002-04-20,99.831,-4.821,2.0,1.0,1
2002-04-27,99.831,-4.821,2.0,1.0,1
2002-05-04,99.831,-4.821,2.0,1.0,1
2002-05-11,99.831,-4.821,2.0,1.0,1
2002-05-18,99.831,-4.821,2.0,1.0,1
2002-05-25,99.831,-4.821,2.0,1.0,1
2002-06-01,99.831,-4.821,2.0,1.0,1
2002-06-08,99.831,-4.821,2.0,1.0,1
2002-06-15,99.831,-4.821,2.0,1.0,1
2002-06-22,99.831,-4.821,2.0,1.0,1
2002-06-29,99.831,-4.821,2.0,1.0,1
2002-08-03,102.828,-4.475,1.0,1.0,1
2002-08-10,102.828,-4.475,1.0,1.0,1
2002-08-17,102.828,-4.475,1.0,1.0,1
2002-08-24,102.828,-4.475,1.0,1.0,1
2002-08-31,102.828,-4.475,1.0,1.0,1
2002-10-26,179.486,-5.823,7.0,1.0,1
2002-11-02,179.486,-5.823,7.0,1.0,1
2002-11-23,139.99,-3.924,8.0,1.0,1
2002-11-30,139.99,-3.924,8.0,1.0,1
2002-12-07,139.99,-3.924,8.0,1.0,1
2002-12-14,139.99,-3.924,8.0,1.0,1
2002-12-21,139.99,-3.924,8.0,1.0,1
2002-12-28,139.99,-3.924,8.0,1.0,1
2003-01-04,139.99,-3.924,8.0,1.0,1
2003-01-11,139.99,-3.924,8.0,1.0,1
2003-01-18,139.99,-3.924,8.0,1.0,1
2002-04-13,99.831,-4.821,2.0,1.0,1
2003-01-25,139.99,-3.924,8.0,1.0,1
2002-04-06,99.831,-4.821,2.0,1.0,1
2002-03-23,99.831,-4.821,2.0,1.0,1
1998-05-23,117.946,-9.407,0.0,1.0,1
1998-05-30,117.946,-9.407,0.0,1.0,1
1998-08-15,117.946,-9.407,0.0,1.0,1
1998-08-22,117.946,-9.407,0.0,1.0,1
1998-08-29,117.946,-9.407,0.0,1.0,1
1998-09-05,117.946,-9.407,0.0,1.0,1
1998-09-12,117.946,-9.407,0.0,1.0,1
1998-09-19,117.946,-9.407,0.0,1.0,1
1998-09-26,117.946,-9.407,0.0,1.0,1
1998-10-03,117.946,-9.407,0.0,1.0,1
1999-08-07,161.868,-5.676,11.0,1.0,1
1999-08-14,161.868,-5.676,11.0,1.0,1
1999-08-21,161.868,-5.676,11.0,1.0,1
1999-08-28,161.868,-5.676,11.0,1.0,1
1999-09-04,161.868,-5.676,11.0,1.0,1
1999-09-11,161.868,-5.676,11.0,1.0,1
1999-12-25,112.787,-5.12,0.0,1.0,1
2000-01-01,112.787,-5.12,0.0,1.0,1
2000-01-08,112.787,-5.12,0.0,1.0,1
2000-01-15,112.787,-5.12,0.0,1.0,1
2000-01-22,112.787,-5.12,0.0,1.0,1
2000-03-18,175.959,-3.825,11.0,0.0,1
2000-03-25,175.959,-3.825,11.0,0.0,1
2000-04-01,175.959,-3.825,11.0,0.0,1
2000-04-08,175.959,-3.825,11.0,0.0,1
2000-04-15,175.959,-3.825,11.0,0.0,1
2000-12-02,86.693,-5.47,11.0,0.0,1
2002-03-30,99.831,-4.821,2.0,1.0,1
2003-02-01,139.99,-3.924,8.0,1.0,1
2003-02-08,139.99,-3.924,8.0,1.0,1
2003-02-15,139.99,-3.924,8.0,1.0,1
2009-09-05,86.499,-11.323,3.0,1.0,1
