duration,tempo,rms_mean,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean,chroma_mean,chroma_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,num_segments,avg_segment_length,segment_length_std,num_structured_sections,structure_ratio,unique_sections,label_entropy,song,decade,lufs_x,rms_db,crest_db_x,lufs_y,crest_db_y,lufs,crest_db
233.66240362811791,90.66611842105264,0.10143484,3532.0233666754943,3400.499152140298,7283.451093854803,0.0928050482948899,0.44550937,0.28769162,-149.24602,88.49485,126.145615,29.53105,-53.334526,20.378529,38.670746,17.378368,-27.306063,15.903279,28.071592,14.199596,-14.60436,11.869188,17.72136,12.58572,-8.75326,9.283164,6.463178,10.545027,-2.221737,7.3520627,3.3254662,7.5274568,1.544634,7.479587,18,12.981244646006552,7.642224779160605,2,0.1111111111111111,1,0.3522138890491458,NA-I'm So Excited.mp3.mp3,1980,-18.368246329172734,-18.993078,17.722642421722412,-18.368246329172734,17.722642421722412,-18.368246329172734,17.722642421722412
244.83120181405897,107.666015625,0.20027065,3032.8329432942955,3191.841067294189,6020.687269577742,0.0732257949197448,0.48537856,0.29569605,-118.66423,79.953964,131.32634,34.5333,-43.220543,21.80311,31.561602,20.461756,-7.0540943,17.904325,23.511686,14.666228,-8.460718,13.117359,11.881592,11.744123,-3.770672,10.617381,8.761982,10.829056,-0.69306266,9.36704,5.0286674,9.186575,-2.479223,7.8997526,12,20.40260015117158,8.816376205992558,1,0.0833333333333333,1,0.2987468750600963,NA-Upside Down.mp3.mp3,1980,-12.947341049775453,-12.473273,15.844058990478516,-12.947341049775453,15.844058990478516,-12.947341049775453,15.844058990478516
207.8185941043084,126.04801829268293,0.06800119,3944.613534923327,3428.667403243728,7581.554408622424,0.116744743659572,0.45042396,0.2877712,-176.66197,82.77617,116.04297,29.502512,-58.441956,26.662352,43.633038,21.989864,-28.489567,18.000252,28.690348,12.609591,-21.078367,10.819361,11.6782,9.882343,-13.188883,9.528757,7.555099,8.6828165,-7.9281054,8.399188,0.84984845,9.0645485,-0.24506694,7.2724924,10,20.78185941043084,8.745345178241886,1,0.1,1,0.3321928094887362,John Mellencamp - Hurts So Good (Official Music Video).mp3,1980,-20.71382603141813,-22.29942,19.170362949371334,-20.71382603141813,19.170362949371334,-20.71382603141813,19.170362949371338
268.5155555555556,93.9630681818182,0.16816382,1954.5404369676153,2640.0159858492175,3519.9362348472155,0.0457243544359894,0.3736732,0.29909533,-172.67389,92.68817,169.44551,31.17146,-10.974752,23.74353,21.631664,17.698046,-8.057615,15.450996,15.094223,12.969035,-5.754391,10.398811,5.675007,10.553661,-8.176218,9.350034,3.4108758,10.055632,-4.6374345,9.403735,2.8482437,8.995768,-1.8353634,7.7732515,11,24.41050505050505,13.974495722787635,1,0.0909090909090909,1,0.3144937835124816,NA-Endless Love.mp3.mp3,1980,-14.328759881998293,-14.470978,14.477715492248535,-14.328759881998293,14.477715492248535,-14.328759881998293,14.477715492248535
215.38829931972788,90.66611842105264,0.10800168,2075.257281967491,2769.6950490857757,4295.092337871571,0.0414441113381259,0.40674785,0.30736235,-217.6838,85.74443,154.94357,30.499968,-8.707052,30.144379,37.743828,20.04805,-11.070171,23.225618,20.747604,14.942966,-4.461813,13.521087,3.2817802,13.454611,-0.67928535,11.886999,4.8129992,12.342773,-4.5938826,10.691479,1.0239335,9.909796,-2.8826892,9.04542,7,30.769757045675412,17.791929678234585,1,0.1428571428571428,1,0.4010507031510862,"NA-Patti Austin feat. James Ingram - Baby, Come To Me (Official Audio).mp3.mp3",1980,-18.668644762120003,-18.42394,17.52371311187744,-18.668644762120003,17.52371311187744,-18.668644762120003,17.52371311187744
211.53378684807257,126.04801829268293,0.084819175,2450.824998297712,2601.52339085938,4866.01228600413,0.0630678168819631,0.36970142,0.29793715,-203.25331,92.9439,151.49274,27.395555,-45.462234,23.417393,36.079155,23.978432,-9.820836,18.773426,15.400772,16.229607,-11.575833,11.95451,-1.3056215,13.504311,-2.9396806,9.228914,-6.9155374,11.731878,-1.2938457,8.198388,0.099993385,8.315678,0.7196528,8.667841,13,16.271829757544044,8.571723469766313,1,0.0769230769230769,1,0.2846492090877763,NA-What About Me？.mp3.mp3,1980,-19.309440153396736,-20.053162,19.661924839019775,-19.309440153396736,19.661924839019775,-19.309440153396736,19.661924839019775
334.9014058956916,132.51201923076923,0.14571506,3066.9927836006864,3138.5777408069966,6064.847897013771,0.0796708036147606,0.38365498,0.30360234,-149.48248,98.14262,132.32065,34.4143,-43.77848,21.392368,39.258263,26.510857,-7.0498834,22.554192,25.607117,18.34517,-16.725117,13.507897,15.830879,14.406256,-7.651791,10.325823,-2.2631392,12.544159,-3.3582733,9.762607,3.0313895,9.319625,-2.109629,9.439795,20,16.74507029478458,9.1089880726643,2,0.1,1,0.3321928094887362,NA-Total Eclipse of the Heart (Radio Version).mp3.mp3,1980,-15.032758346268814,-15.802455,14.143939018249512,-15.032758346268814,14.143939018249512,-15.032758346268814,14.143939018249512
222.7722448979592,109.9567819148936,0.073996924,2207.3300124226303,2290.1780649212737,4249.309271221468,0.0560841996472588,0.53336626,0.3011375,-285.01633,125.79218,127.17065,57.072487,-32.220737,42.59569,29.426119,31.653755,12.164982,22.280647,16.099665,17.939735,1.5849497,13.209564,16.359852,15.050104,5.78908,11.0916605,4.842816,12.144977,4.761895,8.596655,4.13008,8.587337,3.3041847,8.7088785,10,22.27722448979592,10.09933075562684,1,0.1,1,0.3321928094887362,Queen - Another One Bites the Dust (Official Video).mp3,1980,-20.855242468815312,-20.420898,16.97829842567444,-20.855242468815312,16.97829842567444,-20.855242468815312,16.97829842567444
271.81278911564624,166.70866935483872,0.16557586,2744.616951274721,3202.1138046706615,5734.164244273347,0.0609398065778093,0.38635817,0.29900262,-133.76793,100.90229,143.52051,31.75143,-27.601866,27.632402,40.849102,17.452873,-13.469154,19.608086,19.083982,12.655532,-9.436247,11.729568,11.054998,12.340548,-9.237075,10.060983,8.401705,9.159026,-3.9379318,9.279987,5.429446,8.866834,-0.670344,7.756482,15,18.12085260770975,7.873908190986958,1,0.0666666666666666,1,0.2604593730405679,NA-Into The Night.mp3.mp3,1980,-14.079377223874069,-14.570208,15.037482976913452,-14.079377223874069,15.037482976913452,-14.079377223874069,15.037482976913452
226.74285714285713,109.9567819148936,0.08318347,3069.947515839949,3347.558625678267,6596.270269759453,0.0727633063703215,0.4558451,0.30568668,-200.03084,94.960625,137.37317,30.739273,-33.97525,25.620447,38.556034,16.664356,-4.122737,18.252556,18.664919,15.147994,-5.901276,13.173633,14.756103,14.303934,-7.7790346,12.414362,8.043644,13.582502,-2.4588013,9.9946,6.803384,9.725282,-3.0219822,7.299447,12,18.895238095238096,9.86115746238116,2,0.1666666666666666,1,0.430827083453526,NA-Eye of the Tiger.mp3.mp3,1980,-19.625409728291142,-19.849245,18.673875331878666,-19.625409728291142,18.673875331878666,-19.625409728291142,18.673875331878662
